Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
BR2 6BX,Yes,51.362836,0.028712,541335,164594,TQ413645,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",11,4,"Greater London","Bromley","Bromley 033B","Urban city and town",London,119,5,E01000666,
BR2 6BY,Yes,51.364463,0.030795,541475,164779,TQ414647,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",46,20,"Greater London","Bromley","Bromley 033B","Urban city and town",London,112,5,E01000666,
BR2 6BZ,Yes,51.365496,0.038139,541983,164908,TQ419649,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",12,5,"Greater London","Bromley","Bromley 033B","Urban city and town",London,109,5,E01000666,
BR2 6DA,Yes,51.348094,0.036605,541930,162970,TQ419629,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 033B","Urban city and town",London,139,5,E01000666,
BR2 6DB,Yes,51.346885,0.036307,541913,162835,TQ419628,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",18,8,"Greater London","Bromley","Bromley 042B","Urban city and town",London,133,5,E01000747,
BR2 6DD,Yes,51.335513,0.030908,541572,161560,TQ415615,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1995-12-01,,"","",12,7,"Greater London","Bromley","Bromley 042B","Urban city and town",London,162,3,E01000747,
BR2 6DE,Yes,51.344673,0.034242,541776,162585,TQ417625,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",32,13,"Greater London","Bromley","Bromley 042B","Urban city and town",London,130,3,E01000747,
BR2 6DF,Yes,51.346372,0.035308,541845,162776,TQ418627,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",47,20,"Greater London","Bromley","Bromley 042B","Urban city and town",London,128,3,E01000747,
BR2 6DG,Yes,51.342145,0.031187,541571,162298,TQ415622,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",84,30,"Greater London","Bromley","Bromley 042B","Urban city and town",London,137,3,E01000747,
BR2 6DH,Yes,51.336425,0.024473,541121,161649,TQ411616,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",9,3,"","","Bromley 042B","Urban city and town",London,158,3,E01000747,
BR2 6DJ,Yes,51.336988,0.02467,541133,161712,TQ411617,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",19,9,"","","Bromley 042B","Urban city and town",London,157,3,E01000747,
BR2 6DL,Yes,51.336847,0.029675,541482,161706,TQ414617,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",5,3,"Greater London","Bromley","Bromley 042B","Urban city and town",London,151,3,E01000747,
BR2 6DN,Yes,51.336168,0.029458,541469,161630,TQ414616,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",20,8,"Greater London","Bromley","Bromley 042B","Urban city and town",London,159,3,E01000747,
BR2 6DP,Yes,51.3371,0.029629,541478,161734,TQ414617,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",3,2,"Greater London","Bromley","Bromley 042B","Urban city and town",London,155,3,E01000747,
BR2 6DQ,Yes,51.342036,0.030177,541501,162284,TQ415622,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",70,28,"Greater London","Bromley","Bromley 042B","Urban city and town",London,129,3,E01000747,
BR2 6DR,Yes,51.338194,0.028758,541414,161854,TQ414618,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",3,1,"Greater London","Bromley","Bromley 042B","Urban city and town",London,149,3,E01000747,
BR2 6DS,Yes,51.336472,0.03108,541581,161667,TQ415616,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",22,11,"Greater London","Bromley","Bromley 042B","Urban city and town",London,160,3,E01000747,
BR2 6DT,Yes,51.337073,0.031695,541622,161735,TQ416617,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",7,2,"Greater London","Bromley","Bromley 042B","Urban city and town",London,157,3,E01000747,
BR2 6DU,Yes,51.335203,0.029617,541483,161523,TQ414615,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",12,5,"Greater London","Bromley","Bromley 042B","Urban city and town",London,160,3,E01000747,
BR2 6DW,Yes,51.336932,0.029434,541465,161715,TQ414617,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 042B","Urban city and town",London,156,3,E01000747,
BR2 6DX,Yes,51.366308,0.046234,542544,165014,TQ425650,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1984-10-01,,"","",35,13,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,107,5,E01000667,
BR2 6EA,Yes,51.36635,0.047946,542663,165022,TQ426650,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",15,6,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,108,5,E01000667,
BR2 6EB,Yes,51.367489,0.04656,542563,165146,TQ425651,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",26,8,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,103,5,E01000667,
BR2 6EE,Yes,51.364033,0.042613,542299,164754,TQ422647,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",70,26,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,116,5,E01000667,
BR2 6EF,Yes,51.362385,0.042727,542312,164571,TQ423645,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",48,20,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,120,5,E01000667,
BR2 6EG,Yes,51.36429,0.044894,542457,164787,TQ424647,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",35,12,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,113,5,E01000667,
BR2 6EH,Yes,51.366995,0.041366,542203,165081,TQ422650,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",45,17,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,103,5,E01000667,
BR2 6EJ,Yes,51.367637,0.043248,542332,165156,TQ423651,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",39,16,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,100,5,E01000667,
BR2 6EL,Yes,51.36671,0.042775,542302,165052,TQ423650,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",25,8,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,105,5,E01000667,
BR2 6EN,Yes,51.364769,0.041152,542195,164833,TQ421648,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",71,26,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,113,5,E01000667,
BR2 6EP,Yes,51.363935,0.048197,542688,164754,TQ426647,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",23,7,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,117,5,E01000667,
BR2 6EQ,Yes,51.364083,0.045934,542530,164766,TQ425647,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",66,21,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,114,5,E01000667,
BR2 6EW,Yes,51.364655,0.040457,542147,164819,TQ421648,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",42,15,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,113,5,E01000667,
BR2 6EX,Yes,51.364894,0.03962,542088,164844,TQ420648,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",15,6,"Greater London","Bromley","Bromley 033B","Urban city and town",London,112,5,E01000666,
BR2 6HA,Yes,51.359783,0.037741,541973,164272,TQ419642,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 033B","Urban city and town",London,129,5,E01000666,
BR2 6HB,Yes,51.359337,0.042203,542285,164231,TQ422642,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",19,6,"Greater London","Bromley","Bromley 033B","Urban city and town",London,131,5,E01000666,
BR2 6HD,Yes,51.363586,0.036747,541892,164693,TQ418646,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1997-06-01,,"","",9,3,"Greater London","Bromley","Bromley 033B","Urban city and town",London,116,5,E01000666,
BR2 6HE,Yes,51.365091,0.038652,542020,164864,TQ420648,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",24,11,"Greater London","Bromley","Bromley 033B","Urban city and town",London,116,5,E01000666,
BR2 6HF,Yes,51.365703,0.038651,542018,164932,TQ420649,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",9,7,"Greater London","Bromley","Bromley 033B","Urban city and town",London,109,5,E01000666,
BR2 6HG,Yes,51.366313,0.039209,542055,165001,TQ420650,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",2,2,"Greater London","Bromley","Bromley 033B","Urban city and town",London,105,5,E01000666,
BR2 6HH,Yes,51.364222,0.039476,542080,164769,TQ420647,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",47,18,"Greater London","Bromley","Bromley 033C","Urban major conurbation",London,115,5,E01000667,
BR2 6HL,Yes,51.346407,0.031734,541596,162773,TQ415627,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",108,41,"Greater London","Bromley","Bromley 042B","Urban city and town",London,115,3,E01000747,
BR2 6HN,Yes,51.364656,0.037814,541963,164814,TQ419648,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",37,12,"Greater London","Bromley","Bromley 033B","Urban city and town",London,112,5,E01000666,
BR2 6HP,Yes,51.346098,0.031907,541609,162739,TQ416627,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",6,2,"Greater London","Bromley","Bromley 042B","Urban city and town",London,117,3,E01000747,
BR2 6HQ,Yes,51.366563,0.039307,542061,165029,TQ420650,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",23,6,"Greater London","Bromley","Bromley 033B","Urban city and town",London,104,5,E01000666,
BR2 6HR,Yes,51.34776,0.029927,541466,162920,TQ414629,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",14,4,"Greater London","Bromley","Bromley 042B","Urban city and town",London,110,3,E01000747,
BR2 6HS,Yes,51.348613,0.030525,541505,163016,TQ415630,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 042B","Urban city and town",London,110,5,E01000747,
BR2 6HT,Yes,51.348841,0.03345,541708,163047,TQ417630,"Greater London","Bromley","Darwin", E09000006,E05000117,England,E11000009,"Orpington",1980-01-01,,"","",9,4,"Greater London","Bromley","Bromley 042B","Urban city and town",London,124,5,E01000747,
BR2 6HU,Yes,51.352762,0.036568,541913,163489,TQ419634,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",2005-09-01,,"","",142,75,"","","Bromley 033B","Urban city and town",London,162,5,E01000666,
BR2 6HW,Yes,51.365535,0.037451,541935,164911,TQ419649,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1980-01-01,,"","",95,43,"Greater London","Bromley","Bromley 033B","Urban major conurbation",London,108,5,E01000666,
BR2 6HX,Yes,51.363195,0.038036,541983,164652,TQ419646,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1981-06-01,,"","",34,13,"Greater London","Bromley","Bromley 033B","Urban city and town",London,119,5,E01000666,
BR2 6HY,Yes,51.361389,0.037942,541982,164451,TQ419644,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1981-06-01,,"","",41,16,"Greater London","Bromley","Bromley 033B","Urban city and town",London,121,5,E01000666,
BR2 6HZ,Yes,51.353788,0.040132,542158,163610,TQ421636,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",2005-02-01,,"","",26,14,"","","Bromley 033B","Urban city and town",London,160,5,E01000666,
BR2 6JA,Yes,51.361849,0.038393,542012,164503,TQ420645,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1981-06-01,,"","",10,4,"Greater London","Bromley","Bromley 033B","Urban city and town",London,121,5,E01000666,
BR2 6JB,Yes,51.362304,0.037078,541919,164551,TQ419645,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1981-06-01,,"","",11,4,"Greater London","Bromley","Bromley 033B","Urban city and town",London,118,5,E01000666,
BR2 6JD,Yes,51.361078,0.037224,541933,164415,TQ419644,"Greater London","Bromley","Bromley Common and Keston", E09000006,E05000108,England,E11000009,"Beckenham",1993-08-01,,"","",16,6,"Greater London","Bromley","Bromley 033B","Urban city and town",London,120,5,E01000666,
BR2 6ZR,Yes,51.408226,0.017578,540421,169620,TQ404696,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2000-12-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR2 6ZT,Yes,51.408226,0.017578,540421,169620,TQ404696,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2000-06-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR2 7AA,Yes,51.371662,0.024792,541035,165568,TQ410655,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,86,5,E01000765,
BR2 7AB,Yes,51.371882,0.023034,540912,165589,TQ409655,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,87,5,E01000765,
BR2 7AD,Yes,51.369218,0.027816,541253,165302,TQ412653,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",10,3,"","","Bromley 034A","Rural hamlet and isolated dwellings",London,98,5,E01000759,
BR2 7AE,Yes,51.367931,0.027342,541224,165158,TQ412651,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",24,10,"","","Bromley 034A","Rural hamlet and isolated dwellings",London,102,5,E01000759,
BR2 7AF,Yes,51.367123,0.022077,540860,165058,TQ408650,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",7,5,"","","Bromley 034A","Rural hamlet and isolated dwellings",London,108,5,E01000759,
BR2 7AG,Yes,51.37167,0.005539,539695,165532,TQ396655,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",41,1,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,82,5,E01000768,
BR2 7AH,Yes,51.365795,0.019807,540706,164906,TQ407649,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",25,14,"","","Bromley 034A","Rural hamlet and isolated dwellings",London,106,5,E01000759,
BR2 7AL,Yes,51.37062,0.008582,539910,165421,TQ399654,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",11,4,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,92,5,E01000768,
BR2 7AN,Yes,51.374486,0.014384,540302,165862,TQ403658,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",34,14,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,81,5,E01000765,
BR2 7AP,Yes,51.374938,0.010567,540035,165905,TQ400659,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",23,8,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,75,5,E01000768,
BR2 7AR,Yes,51.373751,0.014754,540330,165781,TQ403657,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",22,6,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,83,5,E01000765,
BR2 7AS,Yes,51.372804,0.013865,540271,165674,TQ402656,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",8,1,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,85,5,E01000765,
BR2 7AW,Yes,51.375106,0.010187,540008,165923,TQ400659,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1993-08-01,,"","",12,4,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,73,5,E01000768,
BR2 7AY,Yes,51.381116,0.005837,539687,166583,TQ396665,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",2013-04-01,,"","",,,"Greater London","Bromley","Bromley 027C","Urban major conurbation",London,68,5,E01000766,
BR2 7BA,Yes,51.37699,0.017785,540531,166147,TQ405661,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,72,5,E01000765,
BR2 7BD,Yes,51.376432,0.018321,540570,166086,TQ405660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",68,28,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,74,5,E01000765,
BR2 7BE,Yes,51.375061,0.019094,540628,165935,TQ406659,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",65,28,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,77,5,E01000765,
BR2 7BF,Yes,51.383434,0.011745,540091,166852,TQ400668,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",2015-12-01,,"","",,,"Greater London","Bromley","Bromley 027B","Urban major conurbation",London,54,5,E01000764,
BR2 7BG,Yes,51.376525,0.019215,540632,166098,TQ406660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1993-01-01,,"","",83,28,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,74,5,E01000765,
BR2 7BH,Yes,51.375791,0.019514,540655,166017,TQ406660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1985-10-01,,"","",29,18,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,75,5,E01000765,
BR2 7BJ,Yes,51.37814,0.021011,540752,166281,TQ407662,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",84,25,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,70,5,E01000765,
BR2 7BL,Yes,51.376848,0.019776,540670,166135,TQ406661,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",58,23,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,73,5,E01000765,
BR2 7BN,Yes,51.376837,0.020954,540752,166136,TQ407661,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",59,29,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,73,5,E01000765,
BR2 7BQ,Yes,51.378162,0.02025,540699,166282,TQ406662,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",71,28,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,69,5,E01000765,
BR2 7BS,Yes,51.373688,0.021002,540765,165786,TQ407657,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",87,37,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,80,5,E01000765,
BR2 7BT,Yes,51.372218,0.019701,540679,165620,TQ406656,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",49,13,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,89,5,E01000765,
BR2 7BU,Yes,51.371923,0.020651,540746,165589,TQ407655,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",5,2,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,91,5,E01000765,
BR2 7BX,Yes,51.375868,0.016658,540456,166020,TQ404660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",42,18,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,75,5,E01000765,
BR2 7BY,Yes,51.372606,0.01594,540416,165656,TQ404656,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",103,38,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,86,5,E01000765,
BR2 7BZ,Yes,51.37237,0.015067,540356,165628,TQ403656,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",27,8,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,88,5,E01000765,
BR2 7DB,Yes,51.373976,0.018931,540620,165814,TQ406658,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,83,5,E01000765,
BR2 7DD,Yes,51.37647,0.015118,540347,166084,TQ403660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",67,24,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,71,5,E01000765,
BR2 7DE,Yes,51.375018,0.013761,540257,165920,TQ402659,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",85,26,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,79,5,E01000765,
BR2 7DF,Yes,51.375475,0.012789,540188,165969,TQ401659,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",46,12,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,75,5,E01000765,
BR2 7DG,Yes,51.376487,0.013035,540202,166082,TQ402660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",50,17,"Greater London","Bromley","Bromley 027D","Urban major conurbation",London,71,5,E01000767,
BR2 7DH,Yes,51.37637,0.015703,540388,166074,TQ403660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",68,25,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,72,5,E01000765,
BR2 7DJ,Yes,51.37477,0.011437,540096,165888,TQ400658,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",27,11,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,79,5,E01000768,
BR2 7DL,Yes,51.376442,0.008852,539911,166069,TQ399660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1991-01-01,,"","",23,15,"Greater London","Bromley","Bromley 034D","Urban major conurbation",London,63,5,E01000765,
BR2 7DN,Yes,51.374162,0.008076,539864,165814,TQ398658,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",72,26,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,75,5,E01000768,
BR2 7DP,Yes,51.372969,0.006875,539784,165679,TQ397656,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",79,28,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,80,5,E01000768,
BR2 7DQ,Yes,51.376507,0.012389,540157,166083,TQ401660,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",47,17,"Greater London","Bromley","Bromley 027D","Urban major conurbation",London,68,5,E01000767,
BR2 7DR,Yes,51.373493,0.007271,539810,165738,TQ398657,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",58,19,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,78,5,E01000768,
BR2 7DS,Yes,51.374848,0.008494,539891,165891,TQ398658,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",69,39,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,69,5,E01000768,
BR2 7DT,Yes,51.374671,0.009866,539987,165874,TQ399658,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",24,10,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,75,5,E01000768,
BR2 7DU,Yes,51.373408,0.009595,539972,165733,TQ399657,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",10,3,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,85,5,E01000768,
BR2 7DW,Yes,51.373965,0.007551,539828,165791,TQ398657,"Greater London","Bromley","Hayes and Coney Hall", E09000006,E05000119,England,E11000009,"Beckenham",1980-01-01,,"","",38,13,"Greater London","Bromley","Bromley 034E","Urban major conurbation",London,74,5,E01000768,
